schema_version,sequence,event_time_ns,side,price_ticks,size
1,130,1700000000130000000,bid,499992,23
1,131,1700000000131000000,ask,499972,8
1,132,1700000000132000000,ask,499971,14
1,133,1700000000133000000,bid,499984,11
1,134,1700000000134000000,bid,500021,16
1,135,1700000000135000000,bid,500009,20
1,136,1700000000136000000,ask,499961,20
1,137,1700000000137000000,ask,499958,15
1,138,1700000000138000000,ask,500010,21
1,139,1700000000139000000,bid,499996,15
1,140,1700000000140000000,ask,499964,15
1,141,1700000000141000000,ask,500012,6
1,142,1700000000142000000,ask,500046,14
1,143,1700000000143000000,ask,500006,4
1,144,1700000000144000000,ask,499992,24
1,145,1700000000145000000,bid,500047,3
1,146,1700000000146000000,bid,500037,12
1,147,1700000000147000000,ask,499983,6
1,148,1700000000148000000,bid,499957,16
1,149,1700000000149000000,bid,500031,6
1,150,1700000000150000000,bid,500044,2
1,151,1700000000151000000,bid,500025,20
1,152,1700000000152000000,ask,499974,7
1,153,1700000000153000000,bid,499987,8
1,154,1700000000154000000,bid,500027,4
1,155,1700000000155000000,ask,499957,5
1,156,1700000000156000000,bid,499953,24
1,157,1700000000157000000,ask,500050,9
1,158,1700000000158000000,bid,499976,7
1,159,1700000000159000000,bid,500048,8
1,160,1700000000160000000,bid,500007,9
1,161,1700000000161000000,ask,499975,11
1,162,1700000000162000000,bid,500034,12
1,163,1700000000163000000,bid,500039,20
1,164,1700000000164000000,bid,499977,8
1,165,1700000000165000000,bid,500040,16
1,166,1700000000166000000,bid,500019,17
1,167,1700000000167000000,bid,500041,6
1,168,1700000000168000000,bid,500001,12
1,169,1700000000169000000,ask,500012,5
1,170,1700000000170000000,bid,500026,3
1,171,1700000000171000000,ask,500011,21
1,172,1700000000172000000,bid,499960,16
1,173,1700000000173000000,ask,499954,14
1,174,1700000000174000000,ask,499961,17
1,175,1700000000175000000,ask,500013,24
1,176,1700000000176000000,bid,500019,19
1,177,1700000000177000000,bid,500038,7
1,178,1700000000178000000,ask,499993,12
1,179,1700000000179000000,bid,500006,24
1,180,1700000000180000000,bid,500050,18
1,181,1700000000181000000,ask,500022,14
1,182,1700000000182000000,bid,500022,8
1,183,1700000000183000000,ask,499979,14
1,184,1700000000184000000,ask,500044,1
1,185,1700000000185000000,ask,499975,9
1,186,1700000000186000000,ask,499962,13
1,187,1700000000187000000,bid,499970,15
1,188,1700000000188000000,bid,500027,16
1,189,1700000000189000000,ask,500041,5
1,190,1700000000190000000,bid,500031,1
1,191,1700000000191000000,ask,500031,1
1,192,1700000000192000000,bid,499979,3
1,193,1700000000193000000,ask,499983,5
1,194,1700000000194000000,bid,500046,9
1,195,1700000000195000000,ask,500034,10
1,196,1700000000196000000,bid,499977,16
1,197,1700000000197000000,bid,500016,6
1,198,1700000000198000000,bid,499950,21
1,199,1700000000199000000,bid,500029,6
